"lik0","lik1","effect","df","frequency","N","gamma","p"
-2782.63425355687,-2774.57085626652,-363.317142196837,1,0.001,2247,16.1267945807003,5.92399487729933e-05
-2782.63425355687,-2770.79986960645,-188.625852896754,1,0.005,2247,23.6687679008401,1.14424522634771e-06
-2782.63425355687,-2772.92173212218,-125.784558880495,1,0.01,2247,19.4250428693804,1.04626100614347e-05
-2782.63425355687,-2768.96605314209,-73.6595384879025,1,0.05,2247,27.3364008295603,1.70962558998511e-07
-2782.63425355687,-2773.44262450545,-45.2589851161721,1,0.1,2247,18.38325810284,1.80638190636628e-05
