"lik0","lik1","effect","df","frequency","N","gamma","p"
-2138.76774062287,-2127.7834413272,-321.545944377853,1,0.001,2249,21.9685985913402,2.77148034677488e-06
-2138.76774062287,-2126.96461782218,-143.81747282681,1,0.005,2249,23.6062456013797,1.18203237098324e-06
-2138.76774062287,-2126.00287884392,-109.638524370195,1,0.01,2249,25.5297235579001,4.3561995888286e-07
-2138.76774062287,-2124.71618008392,-58.2511543424007,1,0.05,2249,28.1031210779001,1.15020218793838e-07
-2138.76774062287,-2129.07515311372,-36.8726188745386,1,0.1,2249,19.3851750183003,1.06833175006482e-05
