"lik0","lik1","effect","df","frequency","N","gamma","p"
-2704.24480248306,-2695.21305954436,-375.861168066574,1,0.001,2247,18.0634858774001,2.13659850815118e-05
-2704.24480248306,-2691.82510511219,-187.680528932918,1,0.005,2247,24.8393947417399,6.23109127961818e-07
-2704.24480248306,-2694.19263097467,-123.919250677284,1,0.01,2247,20.1043430167801,7.33299706057178e-06
-2704.24480248306,-2689.95433703519,-72.9912083538338,1,0.05,2247,28.5809308957405,8.98628079726294e-08
-2704.24480248306,-2694.60067215238,-44.9754249742703,1,0.1,2247,19.2882606613603,1.12395278957234e-05
