"lik0","lik1","effect","df","frequency","N","gamma","p"
-15.8723222824677,-15.6902252013615,16.5213549430649,1,0.001,1847,0.364194162212399,0.546186081912807
-15.8723222824677,-15.8117171941637,-3.143211523937,1,0.005,1847,0.121210176607999,0.727725643915274
-15.8723222824677,-15.5114921365027,-5.40475342980687,1,0.01,1847,0.72166029193,0.395599842767086
-15.8723222824677,-15.6997117233381,-1.50550391470728,1,0.05,1847,0.3452211182592,0.556830886038417
-15.8723222824677,-15.7217206979159,-1.00573290878106,1,0.1,1847,0.301203169103598,0.583129123199557
